face,RelatedTo,clock,1.0
face,RelatedTo,watch,1.0
feed,RelatedTo,eat,2.553
fly,RelatedTo,above,0.106
fly,RelatedTo,airplane,0.856
fly,RelatedTo,can,0.21
fly,RelatedTo,has,0.309
fly,RelatedTo,kite,0.138
fly,RelatedTo,plane,0.411
fly,RelatedTo,sky,1.493
fly,RelatedTo,tie,0.123
fly,RelatedTo,trouser,0.106
fly,RelatedTo,use,0.102
follow,RelatedTo,behind,1.072
follow,RelatedTo,walk,0.173
follow,RelatedTo,ball,1.0
follow,RelatedTo,watch,1.0
glass,RelatedTo,bottle,0.947
glass,RelatedTo,cover,0.101
glass,RelatedTo,cup,4.134
glass,RelatedTo,hand,0.252
glass,RelatedTo,inside,0.14
glass,RelatedTo,plate,0.129
glass,RelatedTo,sand,4.262
glass,RelatedTo,vase,0.165
glass,RelatedTo,sand,1.0
glasses,RelatedTo,glass,1.0
grass,RelatedTo,cover,1.401
grass,RelatedTo,has,0.172
grass,RelatedTo,plant,4.923
grass,RelatedTo,pot,0.306
grass,RelatedTo,short,0.144
grass,RelatedTo,side,0.14
grass,RelatedTo,under,0.217
grass,RelatedTo,plant,1.0
guy,RelatedTo,person,0.276
hand,RelatedTo,above,0.346
hand,RelatedTo,at,0.256
hand,RelatedTo,below,1.52
hand,RelatedTo,face,0.171
hand,RelatedTo,has,3.57
hand,RelatedTo,hold,0.124
hand,RelatedTo,horse,0.144
hand,RelatedTo,inside,0.136
hand,RelatedTo,over,0.314
hand,RelatedTo,place,0.235
hand,RelatedTo,touch,0.762
hand,RelatedTo,under,0.316
hand,RelatedTo,clock,1.0
hand,RelatedTo,face,1.0
hand,RelatedTo,side,1.0
hand,RelatedTo,touch,1.0
handcart,RelatedTo,cart,1.0
handcart,RelatedTo,hand,1.0
handcart,RelatedTo,pull,1.0
handwriting,RelatedTo,person,1.0
hat,RelatedTo,wear,0.26
helmet,RelatedTo,construction,0.157
helmet,RelatedTo,hat,0.806
helmet,RelatedTo,motorcycle,0.226
helmet,RelatedTo,wear,0.194
hold,RelatedTo,carry,1.247
hold,RelatedTo,contain,0.204
hold,RelatedTo,hand,1.653
hold,RelatedTo,phone,0.179
hold,RelatedTo,touch,0.168
home_plate,RelatedTo,ball,1.0
horse,RelatedTo,dog,0.266
horse,RelatedTo,face,0.352
horse,RelatedTo,has,0.405
horse,RelatedTo,horse,0.5
horse,RelatedTo,pull,0.141
horse,RelatedTo,ride,3.247
horse,RelatedTo,shoes,0.317
horse,RelatedTo,stadium,0.124
in,RelatedTo,contain,1.0
in,RelatedTo,place,0.27
in,RelatedTo,position,0.283
in,RelatedTo,short,0.208
background,SimilarTo,setting,0.75
background,SimilarTo,backdrop,0.25
building,SimilarTo,construction,1.0
chair,SimilarTo,professorship,0.2
chair,SimilarTo,president,0.7333333333333333
chair,SimilarTo,electric_chair,0.06666666666666667
train,SimilarTo,string,0.6666666666666666
train,SimilarTo,caravan,0.3333333333333333
glasses,SimilarTo,spectacles,0.11363636363636363
glasses,SimilarTo,glass,0.8636363636363636
glasses,SimilarTo,field_glass,0.022727272727272728
trees,SimilarTo,tree,1.0
grass,SimilarTo,eatage,0.3333333333333333
grass,SimilarTo,pot,0.6666666666666666
pants,SimilarTo,trouser,0.42857142857142855
pants,SimilarTo,gasp,0.5714285714285714
jacket,SimilarTo,crown,1.0
wheel,SimilarTo,steering_wheel,0.5454545454545454
wheel,SimilarTo,bicycle,0.45454545454545453
plate,SimilarTo,home_plate,0.9166666666666666
plate,SimilarTo,denture,0.08333333333333333
bike,SimilarTo,bicycle,1.0
bag,SimilarTo,base,0.8333333333333334
bag,SimilarTo,cup_of_tea,0.16666666666666666
counter,SimilarTo,buffet,0.4
counter,SimilarTo,rejoinder,0.6
bench,SimilarTo,terrace,0.08333333333333333
bench,SimilarTo,judiciary,0.16666666666666666
bench,SimilarTo,workbench,0.75
shoes,SimilarTo,place,0.22857142857142856
shoes,SimilarTo,shoe,0.7714285714285715
tower,SimilarTo,column,0.8571428571428571
tower,SimilarTo,tugboat,0.14285714285714285
coat,SimilarTo,coating,1.0
bed,SimilarTo,layer,1.0
dog,SimilarTo,cad,1.0
mountain,SimilarTo,batch,1.0
horse,SimilarTo,cavalry,0.875
horse,SimilarTo,sawhorse,0.125
plane,SimilarTo,airplane,1.0
roof,SimilarTo,ceiling,1.0
bush,SimilarTo,shrub,0.8
bush,SimilarTo,scrub,0.2
phone,SimilarTo,telephone,0.96875
phone,SimilarTo,earphone,0.03125
